trial_number,stimulus,lexicality,duration,response,RT,accuracy
0,morle,pseudoword,0.04,1,0.840084125,0
1,hammer,word,0.2,1,0.561823375,1
2,kitten,word,0.2,1,0.557597875,1
3,hammer,word,0.04,0,1.218113458,0
4,desern,pseudoword,0.04,0,0.71045625,1
5,sugar,word,0.2,1,0.523455208,1
6,waper,pseudoword,0.2,0,0.526436417,1
7,strean,pseudoword,0.2,0,0.490727292,1
8,forest,word,0.04,1,0.491647333,1
9,island,word,0.04,1,0.733764458,1
10,window,word,0.2,1,0.312508042,1
11,waper,pseudoword,0.04,0,0.899204834,1
12,strean,pseudoword,0.04,0,0.726917042,1
13,gardon,pseudoword,0.2,1,0.507403458,0
14,island,word,0.2,1,0.589505459,1
15,forest,word,0.2,1,0.390139042,1
16,river,word,0.2,1,0.311760209,1
17,morle,pseudoword,0.2,0,0.270464875,1
18,window,word,0.04,1,0.48224,1
19,stome,pseudoword,0.2,0,0.5011,1
20,cheese,word,0.04,1,0.64276375,1
21,sugar,word,0.04,1,0.402612667,1
22,tible,pseudoword,0.04,0,0.370126416,1
23,perlun,pseudoword,0.04,0,0.414617542,1
24,perlun,pseudoword,0.2,0,0.35673925,1
25,cheese,word,0.2,1,0.322481542,1
26,hause,pseudoword,0.2,0,0.393810917,1
27,gardon,pseudoword,0.04,0,0.430603625,1
28,candle,word,0.2,1,0.372225209,1
29,desern,pseudoword,0.2,0,0.400867209,1
30,jacket,word,0.2,1,0.315416333,1
31,hause,pseudoword,0.04,0,0.462380125,1
32,tible,pseudoword,0.2,0,0.409079167,1
33,jacket,word,0.04,1,0.480485042,1
34,flomer,pseudoword,0.04,0,0.422877,1
35,flomer,pseudoword,0.2,0,0.315454,1
36,candle,word,0.04,1,0.522355375,1
37,kitten,word,0.04,1,0.369308459,1
38,river,word,0.04,1,0.3354115,1
39,stome,pseudoword,0.04,0,0.372446708,1
