trial_number,stimulus,lexicality,duration
0,morle,pseudoword,0.2
1,desern,pseudoword,0.2
2,forest,word,0.2
3,gardon,pseudoword,0.04
4,hause,pseudoword,0.2
5,hammer,word,0.2
6,strean,pseudoword,0.04
7,forest,word,0.04
8,waper,pseudoword,0.2
9,flomer,pseudoword,0.04
10,hammer,word,0.04
11,cheese,word,0.2
12,kitten,word,0.2
13,perlun,pseudoword,0.2
14,stome,pseudoword,0.04
15,tible,pseudoword,0.2
16,jacket,word,0.2
17,candle,word,0.04
18,sugar,word,0.04
19,strean,pseudoword,0.2
20,sugar,word,0.2
21,gardon,pseudoword,0.2
22,waper,pseudoword,0.04
23,kitten,word,0.04
24,island,word,0.2
25,hause,pseudoword,0.04
26,stome,pseudoword,0.2
27,tible,pseudoword,0.04
28,window,word,0.04
29,jacket,word,0.04
30,flomer,pseudoword,0.2
31,perlun,pseudoword,0.04
32,cheese,word,0.04
33,river,word,0.2
34,morle,pseudoword,0.04
35,river,word,0.04
36,desern,pseudoword,0.04
37,window,word,0.2
38,candle,word,0.2
39,island,word,0.04
