trial_number,stimulus,lexicality,duration
0,hammer,word,0.2
1,hammer,word,0.04
2,morle,pseudoword,0.2
3,strean,pseudoword,0.2
4,morle,pseudoword,0.04
5,forest,word,0.04
6,island,word,0.2
7,river,word,0.2
8,tible,pseudoword,0.2
9,hause,pseudoword,0.2
10,desern,pseudoword,0.2
11,kitten,word,0.2
12,stome,pseudoword,0.04
13,gardon,pseudoword,0.2
14,cheese,word,0.04
15,hause,pseudoword,0.04
16,jacket,word,0.2
17,candle,word,0.2
18,stome,pseudoword,0.2
19,sugar,word,0.04
20,forest,word,0.2
21,flomer,pseudoword,0.2
22,tible,pseudoword,0.04
23,waper,pseudoword,0.2
24,window,word,0.2
25,perlun,pseudoword,0.2
26,desern,pseudoword,0.04
27,jacket,word,0.04
28,perlun,pseudoword,0.04
29,island,word,0.04
30,river,word,0.04
31,gardon,pseudoword,0.04
32,cheese,word,0.2
33,candle,word,0.04
34,flomer,pseudoword,0.04
35,waper,pseudoword,0.04
36,sugar,word,0.2
37,strean,pseudoword,0.04
38,window,word,0.04
39,kitten,word,0.04
