trial_number,stimulus,lexicality,duration
0,stome,pseudoword,0.2
1,flomer,pseudoword,0.2
2,island,word,0.2
3,waper,pseudoword,0.2
4,window,word,0.04
5,jacket,word,0.04
6,morle,pseudoword,0.04
7,desern,pseudoword,0.04
8,hause,pseudoword,0.04
9,cheese,word,0.04
10,cheese,word,0.2
11,tible,pseudoword,0.04
12,strean,pseudoword,0.2
13,candle,word,0.04
14,kitten,word,0.04
15,kitten,word,0.2
16,perlun,pseudoword,0.04
17,stome,pseudoword,0.04
18,window,word,0.2
19,waper,pseudoword,0.04
20,hause,pseudoword,0.2
21,jacket,word,0.2
22,gardon,pseudoword,0.04
23,river,word,0.2
24,island,word,0.04
25,tible,pseudoword,0.2
26,hammer,word,0.04
27,candle,word,0.2
28,desern,pseudoword,0.2
29,morle,pseudoword,0.2
30,forest,word,0.2
31,strean,pseudoword,0.04
32,sugar,word,0.2
33,forest,word,0.04
34,flomer,pseudoword,0.04
35,hammer,word,0.2
36,gardon,pseudoword,0.2
37,sugar,word,0.04
38,river,word,0.04
39,perlun,pseudoword,0.2
