trial_number,stimulus,lexicality,duration,response,RT,accuracy
0,stome,pseudoword,0.2,0,0.777854128,1
1,flomer,pseudoword,0.2,0,0.481194977,1
2,island,word,0.2,1,0.348125213,1
3,waper,pseudoword,0.2,0,0.604672373,1
4,window,word,0.04,1,1.105610619,1
5,jacket,word,0.04,1,0.902352371,1
6,morle,pseudoword,0.04,0,0.577380407,1
7,desern,pseudoword,0.04,0,0.578384916,1
8,hause,pseudoword,0.04,0,0.520460784,1
9,cheese,word,0.04,1,0.769572095,1
10,cheese,word,0.2,1,0.930670843,1
11,tible,pseudoword,0.04,0,0.769898018,1
12,strean,pseudoword,0.2,0,0.624696471,1
13,candle,word,0.04,1,1.035421959,1
14,kitten,word,0.04,1,0.621670502,1
15,kitten,word,0.2,1,0.373015411,1
16,perlun,pseudoword,0.04,0,0.658355018,1
17,stome,pseudoword,0.04,0,0.536566411,1
18,window,word,0.2,1,0.355020271,1
19,waper,pseudoword,0.04,0,0.628918451,1
20,hause,pseudoword,0.2,0,0.511826183,1
21,jacket,word,0.2,1,0.456551103,1
22,gardon,pseudoword,0.04,0,0.473058254,1
23,river,word,0.2,1,0.395082954,1
24,island,word,0.04,1,0.694610741,1
25,tible,pseudoword,0.2,0,0.292214741,1
26,hammer,word,0.04,1,0.730433921,1
27,candle,word,0.2,1,0.244683964,1
28,desern,pseudoword,0.2,0,0.352836658,1
29,morle,pseudoword,0.2,0,0.554128913,1
30,forest,word,0.2,1,0.347763235,1
31,strean,pseudoword,0.04,0,0.530941407,1
32,sugar,word,0.2,1,0.386619881,1
33,forest,word,0.04,1,0.515477557,1
34,flomer,pseudoword,0.04,0,0.577409238,1
35,hammer,word,0.2,1,1.076748991,1
36,gardon,pseudoword,0.2,0,0.28534888,1
37,sugar,word,0.04,1,0.548287161,1
38,river,word,0.04,1,0.434642385,1
39,perlun,pseudoword,0.2,0,0.411760169,1
