trial_number,stimulus,lexicality,duration
0,morle,pseudoword,0.2
1,desern,pseudoword,0.04
2,forest,word,0.2
3,window,word,0.2
4,perlun,pseudoword,0.2
5,morle,pseudoword,0.04
6,window,word,0.04
7,jacket,word,0.04
8,flomer,pseudoword,0.2
9,gardon,pseudoword,0.04
10,cheese,word,0.04
11,tible,pseudoword,0.04
12,waper,pseudoword,0.2
13,hause,pseudoword,0.04
14,candle,word,0.04
15,forest,word,0.04
16,kitten,word,0.2
17,stome,pseudoword,0.2
18,waper,pseudoword,0.04
19,island,word,0.2
20,candle,word,0.2
21,cheese,word,0.2
22,flomer,pseudoword,0.04
23,hammer,word,0.2
24,strean,pseudoword,0.04
25,perlun,pseudoword,0.04
26,river,word,0.04
27,hause,pseudoword,0.2
28,jacket,word,0.2
29,stome,pseudoword,0.04
30,river,word,0.2
31,strean,pseudoword,0.2
32,hammer,word,0.04
33,gardon,pseudoword,0.2
34,kitten,word,0.04
35,desern,pseudoword,0.2
36,island,word,0.04
37,tible,pseudoword,0.2
38,sugar,word,0.04
39,sugar,word,0.2
