trial_number,stimulus,lexicality,duration,response,RT,accuracy
0,morle,pseudoword,0.2,,,0
1,desern,pseudoword,0.04,,,0
2,forest,word,0.2,1,1.067700458,1
3,window,word,0.2,1,0.3974705,1
4,perlun,pseudoword,0.2,0,0.407765166,1
5,morle,pseudoword,0.04,,,0
6,window,word,0.04,,,0
7,jacket,word,0.04,,,0
8,flomer,pseudoword,0.2,0,0.688679583,1
9,gardon,pseudoword,0.04,1,1.422240209,0
10,cheese,word,0.04,1,1.549985875,1
11,tible,pseudoword,0.04,1,0.893714667,0
12,waper,pseudoword,0.2,0,0.947443291,1
13,hause,pseudoword,0.04,1,0.756661292,0
14,candle,word,0.04,1,0.983511208,1
15,forest,word,0.04,,,0
16,kitten,word,0.2,0,0.895578666,0
17,stome,pseudoword,0.2,0,1.3643815,1
18,waper,pseudoword,0.04,1,1.895209166,0
19,island,word,0.2,1,1.28314425,1
20,candle,word,0.2,1,0.693388709,1
21,cheese,word,0.2,1,0.540838958,1
22,flomer,pseudoword,0.04,0,1.480278208,1
23,hammer,word,0.2,1,0.834791625,1
24,strean,pseudoword,0.04,1,1.365816458,0
25,perlun,pseudoword,0.04,1,1.284350458,0
26,river,word,0.04,1,0.896553,1
27,hause,pseudoword,0.2,1,0.831501958,0
28,jacket,word,0.2,1,0.489057292,1
29,stome,pseudoword,0.04,0,0.696915833,1
30,river,word,0.2,1,0.383347542,1
31,strean,pseudoword,0.2,1,0.62173475,0
32,hammer,word,0.04,0,1.115322708,0
33,gardon,pseudoword,0.2,0,0.735908084,1
34,kitten,word,0.04,1,1.708189583,1
35,desern,pseudoword,0.2,0,0.927221959,1
36,island,word,0.04,0,0.632861709,0
37,tible,pseudoword,0.2,1,0.657485792,0
38,sugar,word,0.04,1,0.823334083,1
39,sugar,word,0.2,1,0.347215333,1
