trial_number,stimulus,lexicality,duration
0,waper,pseudoword,0.2
1,river,word,0.04
2,candle,word,0.04
3,strean,pseudoword,0.04
4,perlun,pseudoword,0.04
5,river,word,0.2
6,stome,pseudoword,0.04
7,flomer,pseudoword,0.2
8,hammer,word,0.2
9,island,word,0.04
10,tible,pseudoword,0.2
11,forest,word,0.2
12,strean,pseudoword,0.2
13,forest,word,0.04
14,desern,pseudoword,0.04
15,kitten,word,0.2
16,window,word,0.2
17,jacket,word,0.2
18,stome,pseudoword,0.2
19,candle,word,0.2
20,hammer,word,0.04
21,morle,pseudoword,0.2
22,kitten,word,0.04
23,island,word,0.2
24,desern,pseudoword,0.2
25,sugar,word,0.04
26,waper,pseudoword,0.04
27,cheese,word,0.04
28,jacket,word,0.04
29,gardon,pseudoword,0.04
30,cheese,word,0.2
31,perlun,pseudoword,0.2
32,window,word,0.04
33,tible,pseudoword,0.04
34,hause,pseudoword,0.04
35,hause,pseudoword,0.2
36,sugar,word,0.2
37,flomer,pseudoword,0.04
38,gardon,pseudoword,0.2
39,morle,pseudoword,0.04
